day	hour	value
1	1	11
1	2	0
1	3	145
1	4	0
1	5	0
1	6	0
1	7	10
1	8	14
1	9	4
1	10	26
1	11	1
1	12	1
1	13	1
1	14	0
1	15	0
1	16	24
1	17	17
1	18	16
1	19	0
1	20	0
1	21	0
1	22	0
1	23	1
1	24	1
2	1	2
2	2	4
2	3	11
2	4	0
2	5	20
2	6	13
2	7	0
2	8	0
2	9	12
2	10	7
2	11	11
2	12	8
2	13	6
2	14	0
2	15	5
2	16	1
2	17	18
2	18	10
2	19	50
2	20	49
2	21	29
2	22	11
2	23	14
2	24	13
3	1	12
3	2	0
3	3	0
3	4	1
3	5	0
3	6	0
3	7	4
3	8	1
3	9	9
3	10	0
3	11	2
3	12	1
3	13	0
3	14	0
3	15	17
3	16	13
3	17	18
3	18	11
3	19	41
3	20	32
3	21	1
3	22	6
3	23	9
3	24	2
4	1	1
4	2	1
4	3	0
4	4	0
