day	hour	value
1	1	0
1	2	0
1	3	0
1	4	16
1	5	0
1	6	0
1	7	2
1	8	0
1	9	0
1	10	0
1	11	0
1	12	0
1	13	0
1	14	0
1	15	0
1	16	0
1	17	0
1	18	0
1	19	0
1	20	0
1	21	3
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	17
2	7	26
2	8	2
2	9	0
2	10	0
2	11	0
2	12	0
2	13	0
2	14	0
2	15	37
2	16	26
2	17	5
2	18	0
2	19	1
2	20	1
2	21	7
2	22	41
2	23	0
2	24	0
3	1	0
3	2	39
3	3	48
3	4	0
3	5	30
3	6	18
3	7	1
3	8	3
3	9	2
3	10	0
3	11	0
3	12	3
3	13	0
3	14	0
3	15	0
3	16	0
3	17	0
3	18	0
3	19	1
3	20	0
3	21	1
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	1
