day	hour	value
1	1	11
1	2	5
1	3	0
1	4	1179
1	5	8
1	6	2
1	7	7
1	8	1
1	9	1
1	10	5
1	11	5
1	12	2
1	13	8
1	14	23
1	15	21
1	16	53
1	17	58
1	18	50
1	19	1
1	20	11
1	21	6
1	22	7
1	23	0
1	24	6
2	1	4
2	2	9
2	3	5
2	4	12
2	5	4
2	6	70
2	7	71
2	8	62
2	9	19
2	10	77
2	11	3
2	12	87
2	13	83
2	14	145
2	15	39
2	16	81
2	17	46
2	18	17
2	19	92
2	20	4
2	21	68
2	22	50
2	23	4
2	24	30
3	1	26
3	2	56
3	3	53
3	4	43
3	5	49
3	6	73
3	7	42
3	8	23
3	9	23
3	10	0
3	11	0
3	12	71
3	13	53
3	14	11
3	15	3
3	16	20
3	17	22
3	18	10
3	19	63
3	20	0
3	21	29
3	22	9
3	23	6
3	24	16
4	1	4
4	2	3
4	3	1
4	4	6
