is_need,body
0,続く
0,終わり
0,良いアイデアだと思います
0,それ、ほしいです
0,２１時になりました
0,そうなんですよね
0,確かに
0,ご意見ありがとうございます
0,ご意見いかがでしょうか
0,いいアイデアですね
0,素晴らしいと思います
0,コメントありがとうございます
0,確かにそうですね
0,これからここで議論すべき内容だと考えますがいかがですか
0,意見に賛成です
0,こんにちは
0,こんばんは
0,ありがとうございます
0,返信が遅れて申し訳ございません
0,分かりました
0,詳しく教えてください
0,連投失礼いたします
0,ここの場は、本当に自分の意思で登録し発言している方が多いと思います
0,いいアイデアです
0,ご意見、いただけてとても有難いです
0,申し訳ございません
0,閲覧をされている皆様に質問があります
0,よろしくお願いします
0,反対は無視してください
0,どうも、エビフライです
0,聞いてみたいです
0,いえーい
0,このイメージでぜひ、語り合っていきましょう
0,ホントですね
0,以下のブログ読んでください
0,情報ありがとうございます
0,イェーイ
0,教えてください
0,早速Webチェックしてみました
0,やはり、そう感じられますか
0,ないそでは振れないですからね
0,おっしゃるとおりです
0,手はあげにくいけど・・・,これだと意見がいいやすくて良いシステムだと思います
0,聞かないほうがいいかも
0,新鮮でした
0,初耳です
0,言えなかった
0,大賛成
0,自慢ですかぁ
0,早速拝見しました
0,拝見しました
0,これで入れます
0,ご教示ください
0,同感です
0,抽象的な表現、話で申し訳なかったです
0,積極的にご対応いただき感謝致します
0,早速ネットで調べましたら、随分人が集まっているんですねー
0,反対ではなく、賛成のつもりでいれましたのに
0,私も賛成！反対！で最初に戸惑いました
0,ご返事ありがとうございます
0,教えてください
0,という理解でよろしいでしょうか
0,そうなんです
0,そこには気が付きませんでした
0,フォロー、ありがとうございます
0,その通りです
0,質問させてください
0,反対意見でも、賛成意見でもないです
0,おっさかーなさんの意見に非常に賛成です
0,これはなぜでしょうか
0,このあたりに何かヒントがあるのかもしれませんね
0,自分もです
0,続きです
0,そんなサイトがあるのですね
0,お返事ありがとうございます
0,例えばどのようなものでしょう
0,一旦、アイディアを集約しますね
0,その課題はありますね
0,みなさんのご意見、わたし自身もとても勉強になります
0,どうでしょうか
0,はい思います
0,よいアイデアですね
0,確かにそうですね
0,そうですね、みなさんどのようにしてここにいらっしゃったのでしょう
0,確かにそういうところもあるなぁと思うこともあります
0,基本的には、同意できます
0,興味あります
0,これが理想だと思います
0,考えない
0,なぜ機能していないのか
0,そう思うのですがいかがでしょうか
0,自転車道の整備は賛成です
0,なぜ自転車道なのか
0,初投稿します
0,いつの間にか見なくなりました
0,返信が遅れて申し訳ございません
0,名古屋出身で現在東京在住の大学生です
0,詳しく教えてください
0,確かにそうですね
0,これからの一週間が楽しみです
0,こういうのは、この場ではなかったですか
0,愛岐トンネル群に行きました
0,中央線ですぐです
0,深呼吸したくなります
0,名古屋ばかりの連呼で失礼しましたー
0,どのようなものなのか教えてください
0,知らないです
0,一石二鳥では
0,実際には見ていないのが残念です
0,見たかったなぁ
0,脱線させてしまうことになってしまうので・・・
0,何度も訂正すみません
0,すいません、↑変換まちがいです
0,日本ではあまり見かけませんね
0,そうだったんですね
0,いい場所ですね
0,そこからだんだんと広げていく
0,やってみたいですね
