id,sent,user_id,parent_id,created_at,rank
17,それではみなさんの意見を聞かせてください！,6,,2015-06-15 10:45:59,0.14956059160901
17,スマホが普及した理由は時期に関係あると,6,,2015-06-15 10:45:59,0.14421115244428895
17,なのでスマホを使い始めた時期をみなさん書いてみましょう,6,,2015-06-15 10:45:59,0.14393820236076654
20,私は3年ほど前からiPhoneを使っています,14,17,2015-06-15 11:03:25,0.048461004780859698
21,機能欲しいなーと探すと、それを実現するアプリが見つかるケースがほとんど,1,17,2015-06-15 11:04:20,0.046619429033935816
24,場合ガラケーを購入しても良かったわけですから、スマホにした理由は必要性を感じたと,6,20,2015-06-15 11:23:25,0.20758008798671809
36,LINEの普及は確かに大きいですね,1,30,2015-06-15 11:39:26,0.20645296196201995
36,ガラケーだとLINEが使えないらしいですし,1,30,2015-06-15 11:39:26,0.20180487423243534
37,使い手の自由の効かない機種を使いつづける考えは眼中には無く、真っ先にスマホに機種変更しました,3,17,2015-06-15 11:41:31,0.051537932869370653
37,当時はガラケーに機種変更する考えは全く無かったですね,3,17,2015-06-15 11:41:31,0.050716183452719263
37,自分も大学入学時にガラケーからスマホに変えました,3,17,2015-06-15 11:41:31,0.050214705087158314
37,スマホとガラケーを比べたら、ガラケーだと大抵の機種で画面操作がキー入力だけで使い勝手が悪そうだし、ウェブブラウザも携帯専用だったりして見にくいし、何よりも元々入っている機能しか使えず、自分でアプリを追加して欲しい機能を増やしていく、なんていうスマホの使い方は全くガラケーでは出来そうもなかったですよね,3,17,2015-06-15 11:41:31,0.049409517794364706
37,なので3年くらい前です,3,17,2015-06-15 11:41:31,0.04777770164531947
88,変更の一番の理由は、周りがみんな変えだしたからですね,13,17,2015-06-15 19:57:06,0.22290856062958192
88,連絡手段がメールからLINEに移行し始めたりでガラケーがちょっと不便になってきたので変えました,13,17,2015-06-15 19:57:06,0.21496763057724985
121,3年半前からスマホを使っています,12,17,2015-06-15 21:46:48,0.36163453688368308
121,それまでは所謂ガラケーを使っていましたが、Androidスマホがそれなりに使える性能になっていたこと、仕事でスマホからの動作確認を求められるケースが出てきたことをスマホに切り替えました,12,17,2015-06-15 21:46:48,0.358294229025094
228,LINEの普及は確かに大きいですね,2,30,2015-11-24 11:22:59,0.5
228,ガラケーだとLINEが使えないらしいですし,2,30,2015-11-24 11:22:59,0.5
