id,title,body,parent_id,np,user_id,facilitation,invisible,top_fix,created_at,updated_at,theme_id,image,has_point,has_reply,agreement,claster,stamp
67,良いところ・悪いところ,"スマホの便利なところやアプリケーション、使い始めた時期についてはたくさん話が出てますね。
もっともっとスマホの良いところや悪いところをじゃんじゃん話しあいましょう！
例えば
良いところ
・みんな使っている
・色んなアプリがある
などなど
悪いところ
・電池の保ち
・スマホやSNSへの依存症
などなど
色んな意見をお聞かせください&話し合いましょう",,0,6,false,false,false,2015-06-15 13:27:37,2015-12-01 12:08:54,3,,,,false,1,
262,,てすと,138,62,2,false,false,false,2015-11-29 11:54:39,2015-11-29 11:55:01,3,,,,false,,
263,,もう父度テスト,262,0,2,true,false,false,2015-11-29 11:55:01,2015-11-29 11:55:01,3,,,,true,,
138,,"スマホのメリット・デメリットは皆さんが書かれているように、表裏一体だと感じています。
アプリなどのカスタマイズや多機能だからこそ、子供の利用制限や私用と公用(仕事に使う)の区別など利用者のモラルが必要です。",67,66,12,false,false,false,2015-06-15 23:25:16,2015-11-29 11:54:39,3,,,,false,,
261,,テスト,138,0,2,true,false,false,2015-11-29 11:52:57,2015-11-29 11:52:57,3,,,,true,,
260,,テスト,153,35,2,false,false,false,2015-11-29 11:52:50,2015-11-29 11:52:50,3,,,,,,
153,,"SNSといったコミュニケーションアプリが普及したお陰で情報の循環がしやすくなった(いい意味、悪い意味でも)感はありますね
自分もTwitterがあるお陰で情報を仕入れやすくなりましたw
最近ではどの企業でもTwitterを導入し情報の提供をしたりして上手いことやってたりもしてます
さらにLINEが生まれたことで連絡のしやすさもまた上がってますしスマホのいいところは指折り数え切れないほどあると言っていいでしょう",67,58,11,false,false,false,2015-06-16 13:27:40,2015-11-29 11:52:50,3,,,,false,,
231,,"私も意識せずそうしてしまうことがありますね。 
例えば，訪れたことのない店に行く場合などはついmapに頼ってしまって 
スマートフォンをずっと見てしまっているという状態になりがちです。 
実際にこれでひやっとすることが何度かありました。",130,56,2,false,false,false,2015-11-24 16:07:05,2015-11-24 16:07:56,3,,,,,,
232,,"私も意識せずそうしてしまうことがありますね。 
例えば，訪れたことのない店に行く場合などはついmapに頼ってしまって 
スマートフォンをずっと見てしまっているという状態になりがちです。 
実際にこれでひやっとすることが何度かありました。",231,56,2,false,false,false,2015-11-24 16:07:56,2015-11-24 16:07:56,3,,,,,,
130,,"最近話題になっているところだと、歩きスマホが挙げられるのではないでしょうか。
スマホに夢中になりすぎて、移動時間すら惜しんでゲームをしている人をよく見かけます。
スマホのコンテンツが進化するのは基本的にはいいことですが、こういった弊害もありますね。",67,50,1,false,false,false,2015-06-15 22:33:26,2015-11-24 16:07:05,3,,,,false,,
75,,"電池の持ちが悪いのは確かに問題ですね。
コンパクトになっても、予備バッテリーを持ち歩かないといけないのでは、重たいままなのと変わらないですからね。
また、自由すぎるのも問題な気がします。未成年に有害な広告が簡単に掲載できるのも困る。",67,52,1,false,false,false,2015-06-15 14:01:17,2015-11-18 14:28:48,3,,,,false,,
90,,"いいところといえば、LINEやtwitterといった他者とのコミュニケーションを主としたアプリが使いやすいことですね。
これらで友達同士の連絡や会話が容易になったり、外との交流を持ちやすくなった気がします。
ただその分悪用される事件が増えてきているのは問題だとは思います。",67,51,13,false,false,false,2015-06-15 20:06:11,2015-11-18 14:28:47,3,,,,false,,
111,,"悪用される事件が増えてきているのは確かに問題ですね。
例えば，大学生などは板書を写真にとってテストの時にそれを用いたりする人もいるようです。
便利なところは便利なままで，悪用されてしまう部分は何とか取り除く仕組みを作ってほしいですね。",90,56,5,false,false,false,2015-06-15 21:09:29,2015-11-18 14:28:47,3,,,,false,,
124,,"悪いところで言えば、視力の低下があげられると思います。
スマホは画面や文字が小さくなってしまうので、どうしても画面に顔を近づけがちです。
そのまま長時間使用すると視力は低下してしまいます。
さらに、首を前に倒した状態が続くと、肩こりや片頭痛の原因になるとも聞きます。",67,55,8,false,false,false,2015-06-15 22:11:19,2015-11-18 14:28:47,3,,,,false,,
129,,"そういう人、います。
膝の間や筆箱の中に忍ばせたりして・・・",111,70,1,false,false,false,2015-06-15 22:30:50,2015-11-18 14:28:47,3,,,,false,,
135,,歩きスマホに限らず、自動車のドライバーがスマホを片手に運転しているのを頻繁に見かけます。運転中は携帯電話の使用自体違反になるのに、スマホの画面を見ながらハンドルを握っているのを見ると怖くなります。,130,0,3,false,false,false,2015-06-15 22:51:31,2015-11-18 14:28:47,3,,,,false,,
141,,"私も意識せずそうしてしまうことがありますね。
例えば，訪れたことのない店に行く場合などはついmapに頼ってしまって
スマートフォンをずっと見てしまっているという状態になりがちです。
実際にこれでひやっとすることが何度かありました。",130,56,5,false,false,false,2015-06-16 11:51:04,2015-11-18 14:28:47,3,,,,false,,
154,,"公式アカウントがTwitterを使って宣伝しているのはよく見かけますね。
個人的にはSHARPの公式アカウントがお気に入りです。",153,49,1,false,false,false,2015-06-16 13:37:36,2015-11-18 14:28:47,3,,,,false,,
165,,"最近の機種はスマホが出始めた頃よりもサイズが大きくなっている点に，若干の不便さを感じてます．
スマホのヘビーユーザにとっては画面が大きい方がメリットが多いのかもしれませんが，片手で操作しにくかったり，持ち運ぶ際に邪魔だったりでデメリットも多いような気がします．
個人的には小さいスマホへの需要も一定数はあると思うので，もう少しラインナップを増やして欲しいところです．",67,67,9,false,false,false,2015-06-16 17:35:50,2015-11-18 14:28:46,3,,,,false,,
