id,sent,user_id,parent_id,created_at,rank
17,それではみなさんの意見を聞かせてください！,6,NULL,2015-06-15 10:45:59,0.14956059160901
17,スマホが普及した理由は時期に関係あると,6,NULL,2015-06-15 10:45:59,0.14421115244428895
17,なのでスマホを使い始めた時期をみなさん書いてみましょう,6,NULL,2015-06-15 10:45:59,0.14393820236076654
20,私自身はスマートフォンを使いたかったためガラケーから変えたのではなく、スマートフォンにする必要性を感じたため変えました,14,17,2015-06-15 11:03:25,0.046636551242030415
20,私は3年ほど前からiPhoneを使っています,14,17,2015-06-15 11:03:25,0.046341503122978848
20,スマートフォンの普及には、携帯会社の売り出し方にもあると,14,17,2015-06-15 11:03:25,0.046126332173146933
21,昔はアプリが少なかったですが、最近はかなり増えた気がします,1,17,2015-06-15 11:04:20,0.04709461081938375
24,みんな利用している手段だから、と私もそうかもしれません,6,20,2015-06-15 11:23:25,0.045316323681729574
29,スマホの使いたいからスマホにした、とよりかは、まわりがスマホを使い始めたから・・・と方が多いですね,1,17,2015-06-15 11:33:51,0.23728029638922035
36,LINEの普及は確かに大きいですね,1,30,2015-06-15 11:39:26,0.2738332118736086
36,ガラケーだとLINEが使えないらしいですし,1,30,2015-06-15 11:39:26,0.26496867601231078
37,スマホとガラケーを比べたら、ガラケーだと大抵の機種で画面操作がキー入力だけで使い勝手が悪そうだし、ウェブブラウザも携帯専用だったりして見にくいし、何よりも元々入っている機能しか使えず、自分でアプリを追加して欲しい機能を増やしていく、なんていうスマホの使い方は全くガラケーでは出来そうもなかったですよね,3,17,2015-06-15 11:41:31,0.04584735690495792
88,変更の一番の理由は、周りがみんな変えだしたからですね,13,17,2015-06-15 19:57:06,0.18436083505879924
88,連絡手段がメールからLINEに移行し始めたりでガラケーがちょっと不便になってきたので変えました,13,17,2015-06-15 19:57:06,0.18131452861726455
88,私は2年半前からスマホを使ってます,13,17,2015-06-15 19:57:06,0.16306864788977371
92,僕は、3年前から使い始めてます,7,17,2015-06-15 20:11:50,0.5
92,"僕は周りの友達がmixi,lineなどを利用していて僕もやりたいと思ったし、スマホの方が便利なアプリも多かったのでスマホに変えました",7,17,2015-06-15 20:11:50,0.5
